dataset_id,dataset_name,family,srsd_variant,algorithm,train_nmse,valid_nmse,id_nmse,ood_nmse
g0034,feynman-iii.4.33,srsd,hard dummy,gplearn,0.9999999999959064,5.246221372200016e+45,5.246259916326022e+45,5.246457490673039e+45
g0034,feynman-iii.4.33,srsd,hard dummy,llmsr,2.821238266995544e+43,2.455720047045261e+43,3.7492558206789794e+43,4.129397052440546e+43
g0034,feynman-iii.4.33,srsd,hard dummy,pyoperon,4.1163430859416545e+54,1.0898177164829477,1.1641651949391298,7706.734478169361
g0034,feynman-iii.4.33,srsd,hard dummy,pysr,5.246229715500816e+45,5.246221372200016e+45,5.246259916326022e+45,5.246457490673039e+45
g0034,feynman-iii.4.33,srsd,hard dummy,tpsr,1.980444650510516e+22,2.1500008609917927e+22,2.3065018907300085e+22,8.717274161162579e+20
g0035,feynman-i.37.4,srsd,hard dummy,drsr,6.765303539500231e+34,6.423586596343206e+34,7.245157738457656e+34,1.6172694910958537e+34
g0035,feynman-i.37.4,srsd,hard dummy,dso,0.2290930884375704,0.2334292009371945,0.2332215236955544,0.2285037688534542
g0035,feynman-i.37.4,srsd,hard dummy,gplearn,0.2307935268813628,0.4891776239813514,0.4999047089424497,0.5601286629516402
g0035,feynman-i.37.4,srsd,hard dummy,llmsr,1.5023395722296217e+43,1.4264560759151222e+43,1.608898568109878e+43,3.591395332444241e+42
g0035,feynman-i.37.4,srsd,hard dummy,pyoperon,0.4960175114361208,0.2352720235713392,0.234461440243386,0.2531537284506115
g0035,feynman-i.37.4,srsd,hard dummy,pysr,0.5437856796605538,0.5543110932520058,0.5624312875297304,0.5921117052453954
g0035,feynman-i.37.4,srsd,hard dummy,tpsr,0.5450568039814523,0.5337957885787417,0.5156791662836526,0.8109597480725591
g0036,feynman-ii.37.1,srsd,medium dummy,drsr,1.0773949300772434e+35,1.3317194326402374e+35,1.6822029517892453e+35,4.992957270288438e+29
g0036,feynman-ii.37.1,srsd,medium dummy,dso,2.713888124891081e-15,1.6322063205153465e-15,2.248113016245889e-15,2.2099013864564198e-31
g0036,feynman-ii.37.1,srsd,medium dummy,gplearn,0.9999946593068844,0.9999959972817672,0.999994568450983,1.000000805360944
g0036,feynman-ii.37.1,srsd,medium dummy,llmsr,5.168964668604891e+43,6.112972412801067e+43,8.234394094396609e+43,2.9185553186560324e+38
g0036,feynman-ii.37.1,srsd,medium dummy,pyoperon,1.0,1.0,1.0,1.0
g0036,feynman-ii.37.1,srsd,medium dummy,pysr,0.999994493961695,0.9999958734586596,0.999994400478658,1.0000008303396617
g0036,feynman-ii.37.1,srsd,medium dummy,tpsr,55522262235072.42,63224896992249.17,83641522230193.53,573911.5168762138
g0037,PO14,llm-srbench,,drsr,9.76897342367583,9.864148229516015,10.199631809232876,36.95697021098659
g0037,PO14,llm-srbench,,dso,0.5887084195570538,0.608251241740168,0.6154042640127928,2.561901278811409
g0037,PO14,llm-srbench,,gplearn,0.0403273596953943,2.574267746100333,2.755795784940624,0.9708057605075352
g0037,PO14,llm-srbench,,llmsr,0.045183150315382,0.0485957853085583,0.0458432894841535,0.0284905383659178
g0037,PO14,llm-srbench,,pyoperon,0.3252647652548507,0.3674253085672318,0.370600831039405,0.3508953090825693
g0037,PO14,llm-srbench,,pysr,2.897017734720313e+34,3.500032475400328e+34,2.859685795687769e+34,8.38411444129939e+38
g0037,PO14,llm-srbench,,tpsr,0.9996934529079128,1.0051169596132676,0.9969662130663554,1.1928187900761162
g0038,feynman-i.44.4,srsd,hard dummy,drsr,3240520666732676.5,4167927897417263.0,3503562647046856.5,4468454582790645.0
g0038,feynman-i.44.4,srsd,hard dummy,dso,0.8310924632883584,0.723896983453485,0.8401849762677881,0.6519786149051245
g0038,feynman-i.44.4,srsd,hard dummy,gplearn,0.6903908974317846,0.6594547451308754,0.8354286361846187,1.6751026464550245
g0038,feynman-i.44.4,srsd,hard dummy,llmsr,1.2961959131209307e+36,1.6671994534118377e+36,1.4013813338719367e+36,1.7855486556846695e+36
g0038,feynman-i.44.4,srsd,hard dummy,pyoperon,3.907718537072382e+35,0.8613638465606365,0.9439666973544988,3.226382900298809
g0038,feynman-i.44.4,srsd,hard dummy,pysr,0.0075490841884976,0.0083482607869504,0.0056458777220579,0.0268497370342326
g0038,feynman-i.44.4,srsd,hard dummy,tpsr,1.3126660936981744e+22,1.82759954500018e+22,1.3007443380844204e+22,1.1496787752571562e+25
g0039,feynman-ii.11.3,srsd,medium dummy,drsr,5242118571.450813,245061727700.05667,95783832449721.2,4.692295122487461e+21
g0039,feynman-ii.11.3,srsd,medium dummy,dso,0.881087317961798,1.1222337472114323,9.471940269229954,15.404969157729882
g0039,feynman-ii.11.3,srsd,medium dummy,gplearn,1.00000000000015,1.0,1.0,1.0
g0039,feynman-ii.11.3,srsd,medium dummy,llmsr,1.6865960082272303e+33,7.872297946868524e+34,3.078853908533332e+37,1.5091594592671546e+45
g0039,feynman-ii.11.3,srsd,medium dummy,pyoperon,1.00006902594966,1.131493599719381,101.65137574026204,6823.659136345675
g0039,feynman-ii.11.3,srsd,medium dummy,pysr,0.9997499747134656,1.001492975005175,5.049609055929261,367463.1288420332
g0039,feynman-ii.11.3,srsd,medium dummy,tpsr,,,,
g0040,feynman-bonus.16,srsd,hard dummy,drsr,2.3940955120507443e+29,2.451015906360413e+29,2.8386881566605622e+29,6.484922051351805e+26
g0040,feynman-bonus.16,srsd,hard dummy,dso,0.6815127930057366,0.6617596751414339,0.6719268288013612,0.9771183501302388
g0040,feynman-bonus.16,srsd,hard dummy,gplearn,0.1132348998567985,0.1185432637803914,0.1299856760594712,0.2233028468692436
g0040,feynman-bonus.16,srsd,hard dummy,llmsr,5.315962769077641e+37,5.442351501452078e+37,6.303157279177652e+37,1.4399427262542629e+35
g0040,feynman-bonus.16,srsd,hard dummy,pyoperon,22836465.05652318,0.5487245625138991,0.5774756091072926,0.096053257019517
g0040,feynman-bonus.16,srsd,hard dummy,pysr,0.0233878877683965,0.0232849374790825,0.0341413396573085,1.3752992285314014
g0040,feynman-bonus.16,srsd,hard dummy,tpsr,0.7341773802395354,0.718720910633806,0.7210347996634214,0.9875636375017458
g0041,feynman-bonus.11,srsd,hard dummy,drsr,1.3113634478771814e+18,1.4226302255596526e+18,1.284795726366232e+18,7.896314972801362e+21
g0041,feynman-bonus.11,srsd,hard dummy,dso,1.4000492439590273e-15,1.164322901138505e-15,1.5541874108715513e-15,9.9247262324666e-17
g0041,feynman-bonus.11,srsd,hard dummy,gplearn,1.2965495027343509e-15,1.0442475987744245e-15,1.4575789773346669e-15,6.7569849719965765e-31
g0041,feynman-bonus.11,srsd,hard dummy,llmsr,2.911812429932303e+26,3.158874376676422e+26,2.8528204189486464e+26,1.7533345172873276e+30
g0041,feynman-bonus.11,srsd,hard dummy,pyoperon,0.057244758591258,0.0612904171707962,0.0529715286726745,0.0592734311836027
g0041,feynman-bonus.11,srsd,hard dummy,pysr,1.2965495027042266e-15,1.0442475987744245e-15,1.4575789773346669e-15,6.7569849719965765e-31
