dataset_id,global_index,dataset_name,dataset_dir,family,subgroup,selection_mode,candidate_advantage_side,method_count,valid_output_methods,valid_output_method_names,status_ok,status_timed_out,status_error
g0058,58,feynman_II_36_38,sim-datasets-data/srbench1.0/feynman/feynman_II_36_38,srbench1.0,srbench1.0/feynman,strict,pysr,7,5,dso;llmsr;pyoperon;pysr;tpsr,2,5,0
g0059,59,feynman_II_38_3,sim-datasets-data/srbench1.0/feynman/feynman_II_38_3,srbench1.0,srbench1.0/feynman,strict,pysr,7,6,dso;gplearn;llmsr;pyoperon;pysr;tpsr,2,5,0
g0060,60,feynman-i.27.6,sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-i.27.6,srsd,srsd/srsd-feynman_easy_dummy,strict,pysr,7,7,drsr;dso;gplearn;llmsr;pyoperon;pysr;tpsr,2,5,0
g0061,61,feynman-ii.38.3,sim-datasets-data/srsd/srsd-feynman_easy_dummy/feynman-ii.38.3,srsd,srsd/srsd-feynman_easy_dummy,strict,pysr,7,7,drsr;dso;gplearn;llmsr;pyoperon;pysr;tpsr,3,4,0
g0062,62,Keijzer-7,sim-datasets-data/keijzer/Keijzer-7,keijzer,keijzer,strict,pysr,7,7,drsr;dso;gplearn;llmsr;pyoperon;pysr;tpsr,3,4,0
g0063,63,feynman-bonus.11,sim-datasets-data/srsd/srsd-feynman_hard/feynman-bonus.11,srsd,srsd/srsd-feynman_hard,strict,pysr,7,7,drsr;dso;gplearn;llmsr;pyoperon;pysr;tpsr,3,4,0
g0064,64,feynman-i.39.10,sim-datasets-data/srsd/srsd-feynman_medium_dummy/feynman-i.39.10,srsd,srsd/srsd-feynman_medium_dummy,strict,pysr,7,6,drsr;dso;llmsr;pyoperon;pysr;tpsr,3,4,0
g0065,65,feynman-i.50.26,sim-datasets-data/srsd/srsd-feynman_hard/feynman-i.50.26,srsd,srsd/srsd-feynman_hard,strict,pysr,7,6,drsr;dso;llmsr;pyoperon;pysr;tpsr,2,5,0
g0066,66,Nguyen-5,sim-datasets-data/nguyen/Nguyen-5,nguyen,nguyen,strict,pysr,7,6,drsr;dso;llmsr;pyoperon;pysr;tpsr,3,4,0
g0067,67,Nguyen-6,sim-datasets-data/nguyen/Nguyen-6,nguyen,nguyen,strict,pysr,7,6,drsr;dso;llmsr;pyoperon;pysr;tpsr,4,3,0
g0068,68,Nguyen-9,sim-datasets-data/nguyen/Nguyen-9,nguyen,nguyen,strict,pysr,7,7,drsr;dso;gplearn;llmsr;pyoperon;pysr;tpsr,3,4,0
